,x,delta x,y,delta y,x^2,xy
,3.61e+06,0,0.0004905,0,1.30321e+13,1770.71
,7.29e+06,0,0.000981,0,5.31441e+13,7151.49
,810000,0,9.81e-05,0,6.561e+11,79.461
,302500,0,4.905e-05,0,9.15062e+10,14.8376

,Sums:
,x^2,x,y,xy
,6.69238e+13,1.20125e+07,0.00161865,9016.49

,A,sigma A,B,sigma B,Delta,sigma Y
,1.26337e-07,7.52587e-06,1.34705e-10,1.83991e-12,1.23395e+14,1.02192e-05
